2025-05-26 14:22:19.876 | WARNING  | chatchat.server.utils:detect_xf_models:104 - auto_detect_model needs xinference-client installed. Please try "pip install xinference-client". 
2025-05-26 14:50:20.892 | ERROR    | chatchat.init_database:worker:61 - 向量库 samples 加载失败。
2025-05-26 16:05:28.568 | WARNING  | chatchat.server.utils:detect_xf_models:104 - auto_detect_model needs xinference-client installed. Please try "pip install xinference-client". 
2025-05-26 16:05:28.664 | WARNING  | chatchat.server.utils:get_default_embedding:214 - default embedding model bge-large-zh-v1.5 is not found in available embeddings, using quentinz/bge-large-zh-v1.5 instead
2025-05-26 16:05:28.690 | WARNING  | chatchat.server.utils:get_default_embedding:214 - default embedding model bge-large-zh-v1.5 is not found in available embeddings, using quentinz/bge-large-zh-v1.5 instead
2025-05-26 16:05:28.770 | WARNING  | chatchat.server.utils:get_default_embedding:214 - default embedding model bge-large-zh-v1.5 is not found in available embeddings, using quentinz/bge-large-zh-v1.5 instead
2025-05-26 16:05:28.796 | WARNING  | chatchat.server.utils:get_default_embedding:214 - default embedding model bge-large-zh-v1.5 is not found in available embeddings, using quentinz/bge-large-zh-v1.5 instead
2025-05-26 16:05:29.807 | WARNING  | chatchat.server.utils:get_default_embedding:214 - default embedding model bge-large-zh-v1.5 is not found in available embeddings, using quentinz/bge-large-zh-v1.5 instead
2025-05-26 16:05:29.807 | WARNING  | chatchat.server.utils:get_default_embedding:214 - default embedding model bge-large-zh-v1.5 is not found in available embeddings, using quentinz/bge-large-zh-v1.5 instead
2025-05-26 16:05:29.808 | WARNING  | chatchat.server.utils:get_default_embedding:214 - default embedding model bge-large-zh-v1.5 is not found in available embeddings, using quentinz/bge-large-zh-v1.5 instead
2025-05-26 16:05:29.808 | WARNING  | chatchat.server.utils:get_default_embedding:214 - default embedding model bge-large-zh-v1.5 is not found in available embeddings, using quentinz/bge-large-zh-v1.5 instead
2025-05-26 16:05:29.889 | INFO     | chatchat.server.knowledge_base.kb_cache.faiss_cache:load_vector_store:109 - loading vector store in 'samples/vector_store/quentinz/bge-large-zh-v1.5' from disk.
2025-05-26 16:07:11.574 | INFO     | chatchat.server.knowledge_base.utils:file2docs:336 - CSVLoader used for /root/autodl-tmp/langchain/Langchain-Chatchat/data/knowledge_base/samples/content/test_files/langchain-ChatGLM_closed.csv
2025-05-26 16:07:11.574 | INFO     | chatchat.server.knowledge_base.utils:file2docs:336 - UnstructuredExcelLoader used for /root/autodl-tmp/langchain/Langchain-Chatchat/data/knowledge_base/samples/content/test_files/langchain-ChatGLM_closed.xlsx
2025-05-26 16:07:11.575 | INFO     | chatchat.server.knowledge_base.utils:file2docs:336 - CSVLoader used for /root/autodl-tmp/langchain/Langchain-Chatchat/data/knowledge_base/samples/content/test_files/langchain-ChatGLM_open.csv
2025-05-26 16:07:11.576 | INFO     | chatchat.server.knowledge_base.utils:file2docs:336 - UnstructuredExcelLoader used for /root/autodl-tmp/langchain/Langchain-Chatchat/data/knowledge_base/samples/content/test_files/langchain-ChatGLM_open.xlsx
2025-05-26 16:07:11.576 | INFO     | chatchat.server.knowledge_base.utils:file2docs:336 - RapidOCRPDFLoader used for /root/autodl-tmp/langchain/Langchain-Chatchat/data/knowledge_base/samples/content/test_files/langchain.pdf
2025-05-26 16:07:11.577 | INFO     | chatchat.server.knowledge_base.utils:file2docs:336 - UnstructuredFileLoader used for /root/autodl-tmp/langchain/Langchain-Chatchat/data/knowledge_base/samples/content/test_files/test.txt
2025-05-26 16:07:11.577 | INFO     | chatchat.server.knowledge_base.utils:file2docs:336 - TextLoader used for /root/autodl-tmp/langchain/Langchain-Chatchat/data/knowledge_base/samples/content/分布式训练技术原理.md
2025-05-26 16:07:11.578 | INFO     | chatchat.server.knowledge_base.utils:file2docs:336 - TextLoader used for /root/autodl-tmp/langchain/Langchain-Chatchat/data/knowledge_base/samples/content/大模型应用技术原理.md
2025-05-26 16:07:11.579 | INFO     | chatchat.server.knowledge_base.utils:file2docs:336 - TextLoader used for /root/autodl-tmp/langchain/Langchain-Chatchat/data/knowledge_base/samples/content/大模型技术栈-实战与应用.md
2025-05-26 16:07:11.579 | INFO     | chatchat.server.knowledge_base.utils:file2docs:336 - TextLoader used for /root/autodl-tmp/langchain/Langchain-Chatchat/data/knowledge_base/samples/content/大模型技术栈-算法与原理.md
2025-05-26 16:07:11.580 | INFO     | chatchat.server.knowledge_base.utils:file2docs:336 - TextLoader used for /root/autodl-tmp/langchain/Langchain-Chatchat/data/knowledge_base/samples/content/大模型指令对齐训练原理.md
2025-05-26 16:07:11.580 | INFO     | chatchat.server.knowledge_base.utils:file2docs:336 - TextLoader used for /root/autodl-tmp/langchain/Langchain-Chatchat/data/knowledge_base/samples/content/大模型推理优化策略.md
2025-05-26 16:07:12.294 | WARNING  | chatchat.server.utils:detect_xf_models:104 - auto_detect_model needs xinference-client installed. Please try "pip install xinference-client". 
2025-05-26 16:10:09.863 | WARNING  | chatchat.init_database:main:157 - Caught KeyboardInterrupt! Setting stop event...
2025-05-26 16:15:21.552 | WARNING  | chatchat.server.utils:detect_xf_models:104 - auto_detect_model needs xinference-client installed. Please try "pip install xinference-client". 
2025-05-26 16:15:21.596 | WARNING  | chatchat.server.utils:get_default_embedding:214 - default embedding model bge-large-zh-v1.5 is not found in available embeddings, using quentinz/bge-large-zh-v1.5 instead
2025-05-26 16:15:21.622 | WARNING  | chatchat.server.utils:get_default_embedding:214 - default embedding model bge-large-zh-v1.5 is not found in available embeddings, using quentinz/bge-large-zh-v1.5 instead
2025-05-26 16:15:21.648 | WARNING  | chatchat.server.utils:get_default_embedding:214 - default embedding model bge-large-zh-v1.5 is not found in available embeddings, using quentinz/bge-large-zh-v1.5 instead
2025-05-26 16:15:21.674 | WARNING  | chatchat.server.utils:get_default_embedding:214 - default embedding model bge-large-zh-v1.5 is not found in available embeddings, using quentinz/bge-large-zh-v1.5 instead
2025-05-26 16:15:22.265 | WARNING  | chatchat.server.utils:get_default_embedding:214 - default embedding model bge-large-zh-v1.5 is not found in available embeddings, using quentinz/bge-large-zh-v1.5 instead
2025-05-26 16:15:22.265 | WARNING  | chatchat.server.utils:get_default_embedding:214 - default embedding model bge-large-zh-v1.5 is not found in available embeddings, using quentinz/bge-large-zh-v1.5 instead
2025-05-26 16:15:22.266 | WARNING  | chatchat.server.utils:get_default_embedding:214 - default embedding model bge-large-zh-v1.5 is not found in available embeddings, using quentinz/bge-large-zh-v1.5 instead
2025-05-26 16:15:22.266 | WARNING  | chatchat.server.utils:get_default_embedding:214 - default embedding model bge-large-zh-v1.5 is not found in available embeddings, using quentinz/bge-large-zh-v1.5 instead
2025-05-26 16:15:22.312 | INFO     | chatchat.server.knowledge_base.kb_cache.faiss_cache:load_vector_store:109 - loading vector store in 'samples/vector_store/quentinz/bge-large-zh-v1.5' from disk.
2025-05-26 16:15:27.697 | INFO     | chatchat.server.knowledge_base.utils:file2docs:336 - CSVLoader used for /root/autodl-tmp/langchain/Langchain-Chatchat/data/knowledge_base/samples/content/test_files/langchain-ChatGLM_closed.csv
2025-05-26 16:15:27.698 | INFO     | chatchat.server.knowledge_base.utils:file2docs:336 - UnstructuredExcelLoader used for /root/autodl-tmp/langchain/Langchain-Chatchat/data/knowledge_base/samples/content/test_files/langchain-ChatGLM_closed.xlsx
2025-05-26 16:15:27.699 | INFO     | chatchat.server.knowledge_base.utils:file2docs:336 - CSVLoader used for /root/autodl-tmp/langchain/Langchain-Chatchat/data/knowledge_base/samples/content/test_files/langchain-ChatGLM_open.csv
2025-05-26 16:15:27.699 | INFO     | chatchat.server.knowledge_base.utils:file2docs:336 - UnstructuredExcelLoader used for /root/autodl-tmp/langchain/Langchain-Chatchat/data/knowledge_base/samples/content/test_files/langchain-ChatGLM_open.xlsx
2025-05-26 16:15:27.700 | INFO     | chatchat.server.knowledge_base.utils:file2docs:336 - RapidOCRPDFLoader used for /root/autodl-tmp/langchain/Langchain-Chatchat/data/knowledge_base/samples/content/test_files/langchain.pdf
2025-05-26 16:15:27.701 | INFO     | chatchat.server.knowledge_base.utils:file2docs:336 - UnstructuredFileLoader used for /root/autodl-tmp/langchain/Langchain-Chatchat/data/knowledge_base/samples/content/test_files/test.txt
2025-05-26 16:15:27.701 | INFO     | chatchat.server.knowledge_base.utils:file2docs:336 - TextLoader used for /root/autodl-tmp/langchain/Langchain-Chatchat/data/knowledge_base/samples/content/分布式训练技术原理.md
2025-05-26 16:15:27.702 | INFO     | chatchat.server.knowledge_base.utils:file2docs:336 - TextLoader used for /root/autodl-tmp/langchain/Langchain-Chatchat/data/knowledge_base/samples/content/大模型应用技术原理.md
2025-05-26 16:15:27.702 | INFO     | chatchat.server.knowledge_base.utils:file2docs:336 - TextLoader used for /root/autodl-tmp/langchain/Langchain-Chatchat/data/knowledge_base/samples/content/大模型技术栈-实战与应用.md
2025-05-26 16:15:27.703 | INFO     | chatchat.server.knowledge_base.utils:file2docs:336 - TextLoader used for /root/autodl-tmp/langchain/Langchain-Chatchat/data/knowledge_base/samples/content/大模型技术栈-算法与原理.md
2025-05-26 16:15:27.704 | INFO     | chatchat.server.knowledge_base.utils:file2docs:336 - TextLoader used for /root/autodl-tmp/langchain/Langchain-Chatchat/data/knowledge_base/samples/content/大模型指令对齐训练原理.md
2025-05-26 16:15:27.705 | INFO     | chatchat.server.knowledge_base.utils:file2docs:336 - TextLoader used for /root/autodl-tmp/langchain/Langchain-Chatchat/data/knowledge_base/samples/content/大模型推理优化策略.md
2025-05-26 16:17:42.525 | WARNING  | chatchat.server.utils:detect_xf_models:104 - auto_detect_model needs xinference-client installed. Please try "pip install xinference-client". 
2025-05-26 16:17:44.549 | INFO     | chatchat.server.knowledge_base.kb_cache.faiss_cache:save:40 - 已将向量库 ('samples', 'quentinz/bge-large-zh-v1.5') 保存到磁盘
2025-05-26 16:20:46.238 | WARNING  | chatchat.server.utils:detect_xf_models:104 - auto_detect_model needs xinference-client installed. Please try "pip install xinference-client". 
2025-05-26 16:20:46.281 | WARNING  | chatchat.server.utils:get_default_embedding:214 - default embedding model bge-large-zh-v1.5 is not found in available embeddings, using quentinz/bge-large-zh-v1.5 instead
2025-05-26 16:20:46.307 | WARNING  | chatchat.server.utils:get_default_embedding:214 - default embedding model bge-large-zh-v1.5 is not found in available embeddings, using quentinz/bge-large-zh-v1.5 instead
2025-05-26 16:20:46.332 | WARNING  | chatchat.server.utils:get_default_embedding:214 - default embedding model bge-large-zh-v1.5 is not found in available embeddings, using quentinz/bge-large-zh-v1.5 instead
2025-05-26 16:20:46.358 | WARNING  | chatchat.server.utils:get_default_embedding:214 - default embedding model bge-large-zh-v1.5 is not found in available embeddings, using quentinz/bge-large-zh-v1.5 instead
2025-05-26 16:20:49.112 | WARNING  | chatchat.server.utils:detect_xf_models:104 - auto_detect_model needs xinference-client installed. Please try "pip install xinference-client". 
2025-05-26 16:20:49.154 | WARNING  | chatchat.server.utils:get_default_embedding:214 - default embedding model bge-large-zh-v1.5 is not found in available embeddings, using quentinz/bge-large-zh-v1.5 instead
2025-05-26 16:20:49.180 | WARNING  | chatchat.server.utils:get_default_embedding:214 - default embedding model bge-large-zh-v1.5 is not found in available embeddings, using quentinz/bge-large-zh-v1.5 instead
2025-05-26 16:20:49.206 | WARNING  | chatchat.server.utils:get_default_embedding:214 - default embedding model bge-large-zh-v1.5 is not found in available embeddings, using quentinz/bge-large-zh-v1.5 instead
2025-05-26 16:20:49.232 | WARNING  | chatchat.server.utils:get_default_embedding:214 - default embedding model bge-large-zh-v1.5 is not found in available embeddings, using quentinz/bge-large-zh-v1.5 instead
2025-05-26 16:20:49.265 | INFO     | chatchat.startup:start_main_server:257 - 正在启动服务：
2025-05-26 16:20:49.269 | INFO     | chatchat.startup:start_main_server:258 - 如需查看 llm_api 日志，请前往 /root/autodl-tmp/langchain/Langchain-Chatchat/data/logs
2025-05-26 16:20:52.032 | WARNING  | chatchat.server.utils:detect_xf_models:104 - auto_detect_model needs xinference-client installed. Please try "pip install xinference-client". 
2025-05-26 16:20:52.074 | WARNING  | chatchat.server.utils:get_default_embedding:214 - default embedding model bge-large-zh-v1.5 is not found in available embeddings, using quentinz/bge-large-zh-v1.5 instead
2025-05-26 16:20:52.099 | WARNING  | chatchat.server.utils:get_default_embedding:214 - default embedding model bge-large-zh-v1.5 is not found in available embeddings, using quentinz/bge-large-zh-v1.5 instead
2025-05-26 16:20:52.127 | WARNING  | chatchat.server.utils:get_default_embedding:214 - default embedding model bge-large-zh-v1.5 is not found in available embeddings, using quentinz/bge-large-zh-v1.5 instead
2025-05-26 16:20:52.153 | WARNING  | chatchat.server.utils:get_default_embedding:214 - default embedding model bge-large-zh-v1.5 is not found in available embeddings, using quentinz/bge-large-zh-v1.5 instead
2025-05-26 16:20:53.294 | WARNING  | chatchat.server.utils:get_default_embedding:214 - default embedding model bge-large-zh-v1.5 is not found in available embeddings, using quentinz/bge-large-zh-v1.5 instead
2025-05-26 16:20:53.295 | WARNING  | chatchat.server.utils:get_default_embedding:214 - default embedding model bge-large-zh-v1.5 is not found in available embeddings, using quentinz/bge-large-zh-v1.5 instead
2025-05-26 16:20:53.295 | WARNING  | chatchat.server.utils:get_default_embedding:214 - default embedding model bge-large-zh-v1.5 is not found in available embeddings, using quentinz/bge-large-zh-v1.5 instead
2025-05-26 16:20:53.295 | WARNING  | chatchat.server.utils:get_default_embedding:214 - default embedding model bge-large-zh-v1.5 is not found in available embeddings, using quentinz/bge-large-zh-v1.5 instead
2025-05-26 16:20:53.333 | WARNING  | chatchat.server.utils:get_default_embedding:214 - default embedding model bge-large-zh-v1.5 is not found in available embeddings, using quentinz/bge-large-zh-v1.5 instead
2025-05-26 16:20:53.477 | WARNING  | chatchat.server.utils:get_default_embedding:214 - default embedding model bge-large-zh-v1.5 is not found in available embeddings, using quentinz/bge-large-zh-v1.5 instead
2025-05-26 16:20:53.697 | WARNING  | chatchat.server.utils:get_default_embedding:214 - default embedding model bge-large-zh-v1.5 is not found in available embeddings, using quentinz/bge-large-zh-v1.5 instead
2025-05-26 16:20:53.725 | WARNING  | chatchat.server.utils:get_default_embedding:214 - default embedding model bge-large-zh-v1.5 is not found in available embeddings, using quentinz/bge-large-zh-v1.5 instead
2025-05-26 16:20:53.753 | WARNING  | chatchat.server.utils:get_default_embedding:214 - default embedding model bge-large-zh-v1.5 is not found in available embeddings, using quentinz/bge-large-zh-v1.5 instead
2025-05-26 16:20:53.780 | WARNING  | chatchat.server.utils:get_default_embedding:214 - default embedding model bge-large-zh-v1.5 is not found in available embeddings, using quentinz/bge-large-zh-v1.5 instead
2025-05-26 16:20:54.259 | INFO     | chatchat.startup:run_api_server:55 - Api MODEL_PLATFORMS: [PlatformConfig(platform_name='xinference', platform_type='xinference', api_base_url='http://127.0.0.1:9997/v1', api_key='EMPTY', api_proxy='', api_concurrencies=5, auto_detect_model=True, llm_models=[], embed_models=[], text2image_models=[], image2text_models=[], rerank_models=[], speech2text_models=[], text2speech_models=[]), PlatformConfig(platform_name='ollama', platform_type='ollama', api_base_url='http://127.0.0.1:11434/v1', api_key='EMPTY', api_proxy='', api_concurrencies=5, auto_detect_model=False, llm_models=['qwen:7b', 'qwen2:7b'], embed_models=['quentinz/bge-large-zh-v1.5'], text2image_models=[], image2text_models=[], rerank_models=[], speech2text_models=[], text2speech_models=[]), PlatformConfig(platform_name='oneapi', platform_type='oneapi', api_base_url='http://127.0.0.1:3000/v1', api_key='sk-', api_proxy='', api_concurrencies=5, auto_detect_model=False, llm_models=['chatglm_pro', 'chatglm_turbo', 'chatglm_std', 'chatglm_lite', 'qwen-turbo', 'qwen-plus', 'qwen-max', 'qwen-max-longcontext', 'ERNIE-Bot', 'ERNIE-Bot-turbo', 'ERNIE-Bot-4', 'SparkDesk'], embed_models=['text-embedding-v1', 'Embedding-V1'], text2image_models=[], image2text_models=[], rerank_models=[], speech2text_models=[], text2speech_models=[]), PlatformConfig(platform_name='openai', platform_type='openai', api_base_url='https://api.openai.com/v1', api_key='sk-proj-', api_proxy='', api_concurrencies=5, auto_detect_model=False, llm_models=['gpt-4o', 'gpt-3.5-turbo'], embed_models=['text-embedding-3-small', 'text-embedding-3-large'], text2image_models=[], image2text_models=[], rerank_models=[], speech2text_models=[], text2speech_models=[])]
2025-05-26 16:20:57.247 | WARNING  | chatchat.server.utils:detect_xf_models:104 - auto_detect_model needs xinference-client installed. Please try "pip install xinference-client". 
2025-05-26 16:20:57.288 | WARNING  | chatchat.server.utils:get_default_embedding:214 - default embedding model bge-large-zh-v1.5 is not found in available embeddings, using quentinz/bge-large-zh-v1.5 instead
2025-05-26 16:20:57.313 | WARNING  | chatchat.server.utils:get_default_embedding:214 - default embedding model bge-large-zh-v1.5 is not found in available embeddings, using quentinz/bge-large-zh-v1.5 instead
2025-05-26 16:20:57.338 | WARNING  | chatchat.server.utils:get_default_embedding:214 - default embedding model bge-large-zh-v1.5 is not found in available embeddings, using quentinz/bge-large-zh-v1.5 instead
2025-05-26 16:20:57.363 | WARNING  | chatchat.server.utils:get_default_embedding:214 - default embedding model bge-large-zh-v1.5 is not found in available embeddings, using quentinz/bge-large-zh-v1.5 instead
2025-05-26 16:20:57.368 | INFO     | chatchat.startup:run_webui:80 - Webui MODEL_PLATFORMS: [PlatformConfig(platform_name='xinference', platform_type='xinference', api_base_url='http://127.0.0.1:9997/v1', api_key='EMPTY', api_proxy='', api_concurrencies=5, auto_detect_model=True, llm_models=[], embed_models=[], text2image_models=[], image2text_models=[], rerank_models=[], speech2text_models=[], text2speech_models=[]), PlatformConfig(platform_name='ollama', platform_type='ollama', api_base_url='http://127.0.0.1:11434/v1', api_key='EMPTY', api_proxy='', api_concurrencies=5, auto_detect_model=False, llm_models=['qwen:7b', 'qwen2:7b'], embed_models=['quentinz/bge-large-zh-v1.5'], text2image_models=[], image2text_models=[], rerank_models=[], speech2text_models=[], text2speech_models=[]), PlatformConfig(platform_name='oneapi', platform_type='oneapi', api_base_url='http://127.0.0.1:3000/v1', api_key='sk-', api_proxy='', api_concurrencies=5, auto_detect_model=False, llm_models=['chatglm_pro', 'chatglm_turbo', 'chatglm_std', 'chatglm_lite', 'qwen-turbo', 'qwen-plus', 'qwen-max', 'qwen-max-longcontext', 'ERNIE-Bot', 'ERNIE-Bot-turbo', 'ERNIE-Bot-4', 'SparkDesk'], embed_models=['text-embedding-v1', 'Embedding-V1'], text2image_models=[], image2text_models=[], rerank_models=[], speech2text_models=[], text2speech_models=[]), PlatformConfig(platform_name='openai', platform_type='openai', api_base_url='https://api.openai.com/v1', api_key='sk-proj-', api_proxy='', api_concurrencies=5, auto_detect_model=False, llm_models=['gpt-4o', 'gpt-3.5-turbo'], embed_models=['text-embedding-3-small', 'text-embedding-3-large'], text2image_models=[], image2text_models=[], rerank_models=[], speech2text_models=[], text2speech_models=[])]
2025-05-26 16:27:55.871 | WARNING  | chatchat.startup:start_main_server:315 - Sending SIGKILL to %s
2025-05-26 16:27:55.872 | WARNING  | chatchat.startup:start_main_server:315 - Sending SIGKILL to %s
2025-05-26 16:27:55.872 | INFO     | chatchat.startup:start_main_server:326 - Process status: %s
2025-05-26 16:27:55.872 | INFO     | chatchat.startup:start_main_server:326 - Process status: %s
2025-05-26 16:28:57.957 | WARNING  | chatchat.server.utils:detect_xf_models:104 - auto_detect_model needs xinference-client installed. Please try "pip install xinference-client". 
2025-05-26 16:28:58.001 | WARNING  | chatchat.server.utils:get_default_embedding:214 - default embedding model bge-large-zh-v1.5 is not found in available embeddings, using quentinz/bge-large-zh-v1.5 instead
2025-05-26 16:28:58.027 | WARNING  | chatchat.server.utils:get_default_embedding:214 - default embedding model bge-large-zh-v1.5 is not found in available embeddings, using quentinz/bge-large-zh-v1.5 instead
2025-05-26 16:28:58.053 | WARNING  | chatchat.server.utils:get_default_embedding:214 - default embedding model bge-large-zh-v1.5 is not found in available embeddings, using quentinz/bge-large-zh-v1.5 instead
2025-05-26 16:28:58.079 | WARNING  | chatchat.server.utils:get_default_embedding:214 - default embedding model bge-large-zh-v1.5 is not found in available embeddings, using quentinz/bge-large-zh-v1.5 instead
2025-05-26 16:29:01.344 | WARNING  | chatchat.server.utils:detect_xf_models:104 - auto_detect_model needs xinference-client installed. Please try "pip install xinference-client". 
2025-05-26 16:29:01.386 | WARNING  | chatchat.server.utils:get_default_embedding:214 - default embedding model bge-large-zh-v1.5 is not found in available embeddings, using quentinz/bge-large-zh-v1.5 instead
2025-05-26 16:29:01.411 | WARNING  | chatchat.server.utils:get_default_embedding:214 - default embedding model bge-large-zh-v1.5 is not found in available embeddings, using quentinz/bge-large-zh-v1.5 instead
2025-05-26 16:29:01.436 | WARNING  | chatchat.server.utils:get_default_embedding:214 - default embedding model bge-large-zh-v1.5 is not found in available embeddings, using quentinz/bge-large-zh-v1.5 instead
2025-05-26 16:29:01.462 | WARNING  | chatchat.server.utils:get_default_embedding:214 - default embedding model bge-large-zh-v1.5 is not found in available embeddings, using quentinz/bge-large-zh-v1.5 instead
2025-05-26 16:29:01.610 | INFO     | chatchat.startup:start_main_server:257 - 正在启动服务：
